Title,Named-entity,Sentence
Ed Sheeran,three,"Released in 2019, his fourth studio album No.6 Collaborations Project debuted at number one in most major markets, and spawned three UK number one singles, ""I Don'I Don't Care"", ""Beautiful People"" and ""Take Me Back to London""."
Ed Sheeran,UK,"Released in 2019, his fourth studio album No.6 Collaborations Project debuted at number one in most major markets, and spawned three UK number one singles, ""I Don'I Don't Care"", ""Beautiful People"" and ""Take Me Back to London""."
Ed Sheeran,one,"Released in 2019, his fourth studio album No.6 Collaborations Project debuted at number one in most major markets, and spawned three UK number one singles, ""I Don'I Don't Care"", ""Beautiful People"" and ""Take Me Back to London""."
Ed Sheeran,"Beautiful People"" and ""Take Me Back","Released in 2019, his fourth studio album No.6 Collaborations Project debuted at number one in most major markets, and spawned three UK number one singles, ""I Don'I Don't Care"", ""Beautiful People"" and ""Take Me Back to London""."
Ed Sheeran,London,"Released in 2019, his fourth studio album No.6 Collaborations Project debuted at number one in most major markets, and spawned three UK number one singles, ""I Don'I Don't Care"", ""Beautiful People"" and ""Take Me Back to London""."
Ed Sheeran,fifth,"His fifth studio album,  (pronounced ""equals""), topped the charts in most major markets in 2021.Sheeran has sold more than 150 million records worldwide, making him one of the List of best-world's best-selling music artists."
Ed Sheeran,2021.Sheeran,"His fifth studio album,  (pronounced ""equals""), topped the charts in most major markets in 2021.Sheeran has sold more than 150 million records worldwide, making him one of the List of best-world's best-selling music artists."
Ed Sheeran,more than 150 million,"His fifth studio album,  (pronounced ""equals""), topped the charts in most major markets in 2021.Sheeran has sold more than 150 million records worldwide, making him one of the List of best-world's best-selling music artists."
Ed Sheeran,Spotify,"Globally, Spotify named him the second List of most-most streamed artist of the decade."
Ed Sheeran,second,"Globally, Spotify named him the second List of most-most streamed artist of the decade."
Ed Sheeran,the decade,"Globally, Spotify named him the second List of most-most streamed artist of the decade."
Ed Sheeran,March 2017,"Beginning in March 2017, his  Tour became the List of highest-highest-grossing of all time in August 2019."
Ed Sheeran,August 2019,"Beginning in March 2017, his  Tour became the List of highest-highest-grossing of all time in August 2019."
Ed Sheeran,the National Youth Theatre,"An alumnus of the National Youth Theatre in London, Sheeran's acting roles include appearing in the 2019 film Yesterday."
Ed Sheeran,London,"An alumnus of the National Youth Theatre in London, Sheeran's acting roles include appearing in the 2019 film Yesterday."
Ed Sheeran,Sheeran,"An alumnus of the National Youth Theatre in London, Sheeran's acting roles include appearing in the 2019 film Yesterday."
Ed Sheeran,2019,"An alumnus of the National Youth Theatre in London, Sheeran's acting roles include appearing in the 2019 film Yesterday."
Ed Sheeran,Yesterday,"An alumnus of the National Youth Theatre in London, Sheeran's acting roles include appearing in the 2019 film Yesterday."
Ed Sheeran,Edward Christopher,"Early life and education Edward Christopher Sheeran was born in Halifax, West Yorkshire, England on 17 February 1991."
Ed Sheeran,Halifax,"Early life and education Edward Christopher Sheeran was born in Halifax, West Yorkshire, England on 17 February 1991."
Ed Sheeran,West Yorkshire,"Early life and education Edward Christopher Sheeran was born in Halifax, West Yorkshire, England on 17 February 1991."
Ed Sheeran,England,"Early life and education Edward Christopher Sheeran was born in Halifax, West Yorkshire, England on 17 February 1991."
Ed Sheeran,17 February 1991,"Early life and education Edward Christopher Sheeran was born in Halifax, West Yorkshire, England on 17 February 1991."
Ed Sheeran,Birchcliffe Road,His early childhood home was on Birchcliffe Road in nearby Hebden Bridge.
Ed Sheeran,Hebden Bridge,His early childhood home was on Birchcliffe Road in nearby Hebden Bridge.
Ed Sheeran,Ed Sheeran,"url    title  access-date  author  date  work  quote  World-famous singer songwriter Ed Sheeran spent his formative early childhood years in Hebden Bridge and seems to have absorbed its quirky, independent spirit."
Ed Sheeran,early childhood years,"url    title  access-date  author  date  work  quote  World-famous singer songwriter Ed Sheeran spent his formative early childhood years in Hebden Bridge and seems to have absorbed its quirky, independent spirit."
Ed Sheeran,Hebden Bridge,"url    title  access-date  author  date  work  quote  World-famous singer songwriter Ed Sheeran spent his formative early childhood years in Hebden Bridge and seems to have absorbed its quirky, independent spirit."
Ed Sheeran,Cartwright Hall,His father was a curator at Cartwright Hall in Bradford and his mother worked at Manchester City Art Gallery.
Ed Sheeran,Bradford,His father was a curator at Cartwright Hall in Bradford and his mother worked at Manchester City Art Gallery.
Ed Sheeran,Manchester City Art Gallery,His father was a curator at Cartwright Hall in Bradford and his mother worked at Manchester City Art Gallery.
Ed Sheeran,December 1995,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,Hebden Bridge,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,Framlingham,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,Suffolk,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,Sheeran,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,the age of four,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,age eleven,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,Thomas Mills High School,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,Framlingham,"In December 1995 he moved with his family from Hebden Bridge to Framlingham in Suffolk,Sheeran sang at a local church choir at the age of four, learned how to play the guitar at age eleven, and began writing songs while at Thomas Mills High School in Framlingham."
Ed Sheeran,2004,"A 2004 school report described him as a ""natural performer"", and his classmates also voted him ""most likely to be famous""."
Ed Sheeran,Career20042010,Career20042010:
Ed Sheeran,2004,"Career beginningsSheeran began recording music in 2004 and independently released his first collection of work, tiled Spinning Man."
Ed Sheeran,first,"Career beginningsSheeran began recording music in 2004 and independently released his first collection of work, tiled Spinning Man."
Ed Sheeran,Spinning Man,"Career beginningsSheeran began recording music in 2004 and independently released his first collection of work, tiled Spinning Man."
Ed Sheeran,2009,"He released another EP in 2009, You Need Me, and also collaborated several times with Essex singer Leddra Chapman, including CeeLo Green's ""Fuck You""."
Ed Sheeran,Essex,"He released another EP in 2009, You Need Me, and also collaborated several times with Essex singer Leddra Chapman, including CeeLo Green's ""Fuck You""."
Ed Sheeran,Leddra Chapman,"He released another EP in 2009, You Need Me, and also collaborated several times with Essex singer Leddra Chapman, including CeeLo Green's ""Fuck You""."
Ed Sheeran,CeeLo Green's,"He released another EP in 2009, You Need Me, and also collaborated several times with Essex singer Leddra Chapman, including CeeLo Green's ""Fuck You""."
