Title,Named-entity,Frequency
Barack Obama,the Federal Election Commission,1
Barack Obama,It Begins with Us,1
Barack Obama,the Democratic National Convention,1
Barack Obama,Charlotte,1
Barack Obama,North Carolina,1
Barack Obama,Bill Clinton,3
Barack Obama,Republicans,2
Barack Obama,Paul Ryan,1
Barack Obama,Wisconsin,1
Barack Obama,"November 6, 2012",1
Barack Obama,332,1
Barack Obama,270,1
Barack Obama,his first few days,1
Barack Obama,the first two years,1
Barack Obama,"May 26, 2009",1
Barack Obama,David Souter,1
Barack Obama,August 6,1
Barack Obama,"March 11, 2009",1
Barack Obama,the White House Council on Women and Girls,1
Barack Obama,the Office of Intergovernmental Affairs,1
Barack Obama,April 2010,1
Barack Obama,NASA,1
Barack Obama,Ares,1
Barack Obama,Ares V,1
Barack Obama,Constellation,1
Barack Obama,Earth,1
Barack Obama,Mars,1
Barack Obama,the International Space Station,1
Barack Obama,"January 16, 2013",1
Barack Obama,one month,1
Barack Obama,the Sandy Hook Elementary School,1
Barack Obama,23,1
Barack Obama,four-year,1
Barack Obama,"October 8, 2009",1
Barack Obama,the Matthew Shepard,1
Barack Obama,James Byrd Jr.,3
Barack Obama,1969,1
Barack Obama,"February 17, 2009",1
Barack Obama,the American Recovery and Reinvestment Act,1
Barack Obama,787trillion,1
Barack Obama,the Federal Reserve,1
Barack Obama,the Department of the Treasury,1
Barack Obama,about $11.5The,1
Barack Obama,October,1
Barack Obama,10.0 percent,2
Barack Obama,the fourth quarter,1
Barack Obama,9.7 percent,1
Barack Obama,the first quarter of 2010,1
Barack Obama,9.6 percent,1
Barack Obama,the second quarter,1
Barack Obama,the year,1
Barack Obama,The Congressional Budget Office,1
Barack Obama,CBO,2
Barack Obama,12.1Within a month of the 2010,1
Barack Obama,Congressional,2
Barack Obama,2001,1
Barack Obama,December 2013,1
Barack Obama,Francis,1
Barack Obama,"April 20, 2010",1
Barack Obama,the Macondo Prospect,1
Barack Obama,the Gulf of Mexico,1
Barack Obama,Gulf,1
Barack Obama,Ken Salazar,1
Barack Obama,six-month,1
Barack Obama,July 2013,1
Barack Obama,Keystone,1
Barack Obama,XL,1
Barack Obama,December 2016,1
Barack Obama,Atlantic,1
Barack Obama,Arctic Oceans,1
Barack Obama,1953,1
Barack Obama,Outer Continental Shelf Act,1
Barack Obama,the Antiquities Act,1
Barack Obama,25,1
Barack Obama,"July 14, 2009",1
Barack Obama,House,2
Barack Obama,"1,017",1
Barack Obama,"November 7, 2009",1
Barack Obama,2014,2
Barack Obama,Medicaid,1
Barack Obama,133,1
Barack Obama,Medicare,3
Barack Obama,Americans,2
Barack Obama,"June 28, 2012",1
Barack Obama,54,1
Barack Obama,National Federation of Independent Business,1
Barack Obama,the U.S. Congress's,1
Barack Obama,February,1
Barack Obama,March 2009,1
Barack Obama,State,1
Barack Obama,Europe,2
Barack Obama,Arab,2
Barack Obama,Al Arabiya,1
Barack Obama,Yemen,2
Barack Obama,Awlaki,3
Barack Obama,Al-Qaeda,1
Barack Obama,Abdulrahman al-teenage,1
Barack Obama,Sanaa,1
Barack Obama,more than 140,1
Barack Obama,"27, 2009",1
Barack Obama,18 months,1
Barack Obama,June 2014,1
Barack Obama,Mosul,1
Barack Obama,ISIS,2
Barack Obama,275,1
Barack Obama,the U.S. Embassy,1
Barack Obama,Baghdad,1
Barack Obama,the initial years,1
Barack Obama,Israel,1
Barack Obama,the Defense Policy Advisory Group,1
Barack Obama,2013,1
Barack Obama,Jeffrey Goldberg,1
Barack Obama,Netanyahu,1
Barack Obama,"December 23, 2016",1
Barack Obama,the Obama Administration,1
Barack Obama,United Nations Security Council Resolution 2334,1
Barack Obama,Israeli,1
Barack Obama,Palestinian,1
Barack Obama,February 2011,1
Barack Obama,the Arab Spring,1
Barack Obama,Gaddafi,1
Barack Obama,the Arab League,1
Barack Obama,next day,1
Barack Obama,Libyan,1
Barack Obama,Syrian,1
Barack Obama,"August 18, 2011",1
Barack Obama,the Syrian Civil War,1
Barack Obama,Bashar al-,1
Barack Obama,Assad,2
Barack Obama,Syria,2
Barack Obama,the Syrian Government's,1
Barack Obama,"August 21,formally",1
Barack Obama,Osama bin LadenStarting,1
Barack Obama,Central Intelligence Agency,1
Barack Obama,July 2010,1
Barack Obama,CIA,1
Barack Obama,the next several months,1
Barack Obama,Osama bin,1
Barack Obama,Abbottabad,1
Barack Obama,"October 1, 2009",1
Barack Obama,"The ""Complex Modernization",1
Barack Obama,Los Alamos,1
Barack Obama,New Mexico,1
Barack Obama,the Y-12,1
Barack Obama,Oak Ridge,1
Barack Obama,Tennessee,1
Barack Obama,the very same year,1
Barack Obama,December 2015,1
Barack Obama,348Relations,1
Barack Obama,CubaSince,1
Barack Obama,the spring of 2013,1
Barack Obama,Canada,1
Barack Obama,Vatican City,1
Barack Obama,December 2014,1
Barack Obama,nearly sixty years,1
Barack Obama,the African Union,1
Barack Obama,Addis Ababa,1
Barack Obama,"July 29, 2015",1
Barack Obama,LGBT,2
Barack Obama,Africans,1
Barack Obama,Hiroshima,3
Barack Obama,"May 27, 2016",1
Barack Obama,Japan,1
Barack Obama,71 years,1
Barack Obama,the end of,1
Barack Obama,World War II,1
Barack Obama,Japanese,1
Barack Obama,Shinz Abe,1
Barack Obama,the Hiroshima Peace Memorial Museum,1
Barack Obama,March 2010,1
Barack Obama,Russian,1
Barack Obama,Dmitry Medvedev,1
Barack Obama,1991,1
Barack Obama,Strategic Arms Reduction Treaty,1
Barack Obama,about a third,1
Barack Obama,Crimea,1
Barack Obama,imageObama,1
Barack Obama,the 1960s,1
Barack Obama,weekly,1
Barack Obama,the Gallup Organization,1
Barack Obama,68 percent,1
Barack Obama,February 2006,1
Barack Obama,The Audacity of Hope,1
Barack Obama,"February 2008.On October 9, 2009",1
Barack Obama,the Norwegian Nobel Committee,1
Barack Obama,2017present)Obama,1
Barack Obama,Donald Trump,1
Barack Obama,the Obama Foundation,1
Barack Obama,October 31 to November 1,1
Barack Obama,May 2018,1
Barack Obama,Trump,1
Barack Obama,the Joint Comprehensive Plan of Action,1
Barack Obama,63%,1
Barack Obama,Gallup,1
Barack Obama,10,1
Barack Obama,2019,1
Barack Obama,Michelle Obama,1
Barack Obama,Martha,1
Barack Obama,Grousbeck,1
Barack Obama,65In,1
Barack Obama,February 2021,1
Barack Obama,Bruce Springsteen,1
Barack Obama,USA,1
Barack Obama,America,1
Barack Obama,"April 5, 2022",1
Barack Obama,the White House,1
Barack Obama,12th,1
Barack Obama,the U.S. Bureau of Labor Statistics,1
Barack Obama,11.3million,1
Barack Obama,the month,1
Barack Obama,the National Defense Authorization Act,1
Barack Obama,Fiscal Year 2010,1
Barack Obama,the Church Arson Prevention Act,1
Barack Obama,The Matthew Shepard,1
Barack Obama,Taliban,1
Barack Obama,Pew Research Center,1
Barack Obama,"December 31, 2009",1
Barack Obama,"December 31, 2015",1
Barack Obama,five percent,1
Barack Obama,Jimmy Carter,1
Barack Obama,Ronald Reagan,1
Barack Obama,George H. W. Bush,1
Barack Obama,Julian E.Julian,1
Barack Obama,Zelizer,1
Barack Obama,more than one thousand,1
Barack Obama,3.2 million,1
Barack Obama,January 2017,1
Barack Obama,60 percent,1
Barack Obama,the University of Chicago,1
Barack Obama,Jackson Park,1
Barack Obama,the South Side,1
Barack Obama,BibliographyBooks,1
Barack Obama,Random House Audio,1
Barack Obama,the author)Articles            See alsoPolitics DREAM Act Fraud Enforcement and Recovery Act of,1
Barack Obama,2009 Immigration Reform and Control Act,1
Barack Obama,1986,1
Barack Obama,IRS,1
Barack Obama,National Broadband Plan,1
Barack Obama,Office of Energy Efficiency and Renewable Energy Social,1
Barack Obama,White House Office of Energy and Climate Change,1
Barack Obama,Roberts Court,1
Barack Obama,Barack Obama List,2
Barack Obama,United,1
Barack Obama,2009List,1
Barack Obama,200917,1
Barack Obama,92112,1
Barack Obama,5562,1
Barack Obama,438439,1
Barack Obama,104106,1
Barack Obama,172177,1
Barack Obama,235259,1
Barack Obama,272285,1
Barack Obama,202208,1
Barack Obama,557,1
Barack Obama,Jerry Kellman,1
Barack Obama,those first three years,1
Barack Obama,Kenny,1
Barack Obama,Mary,1
Barack Obama,Martin Luther King,1
Barack Obama,"September 7, 2014",1
Barack Obama,Mark Ledwidge,1
Barack Obama,54.3,1
Barack Obama,2017,1
Barack Obama,373,1
Barack Obama,The Obama Foundation,1
Barack Obama,Barack Obama Presidential Library,1
Barack Obama,YouTube,1
Barack Obama,MySpace,1
Barack Obama,The Huffington Post,1
Barack Obama,Barack ObamaSubject,1
