Title,Named-entity,Frequency
Ed Sheeran,Sheeran-alikes,1
Ed Sheeran,Sharon Dastur,1
Ed Sheeran,GQ Billboard,1
Ed Sheeran,Elton John's ',1
Ed Sheeran,Lion King' Music: Watch a Clip From 'The Nation's Favorite,1
Ed Sheeran,Financial Express,1
Ed Sheeran,19 October 2015,1
Ed Sheeran,the University of Suffolk,1
Ed Sheeran,five,1
Ed Sheeran,six,1
Ed Sheeran,Billboard Music Awards,1
Ed Sheeran,Top Artist,1
Ed Sheeran,2015 and 2018,1
Ed Sheeran,Yorkshireman,1
Ed Sheeran,Monty Python,1
Ed Sheeran,Michael Palin,1
Ed Sheeran,Sean Bean,1
Ed Sheeran,Patrick Stewart,1
Ed Sheeran,South London,1
Ed Sheeran,Scottish,1
Ed Sheeran,Nina Nesbitt,1
Ed Sheeran,July 2015,1
Ed Sheeran,28 August 2018,1
Ed Sheeran,16 September 2018,1
Ed Sheeran,January 2018,1
Ed Sheeran,a year later,1
Ed Sheeran,Ipswich Town F.C.Ipswich Town,1
Ed Sheeran,June 2015,1
Ed Sheeran,Forbes,1
Ed Sheeran,57million,1
Ed Sheeran,the previous 12 months,1
Ed Sheeran,27th,1
Ed Sheeran,24 October 2021,1
Ed Sheeran,less than a week,1
Ed Sheeran,"Photograph""",1
Ed Sheeran,Amazing,1
Ed Sheeran,Matt Cardle,1
Ed Sheeran,"Sheeran, Sony/ATV Music Publishing",1
Ed Sheeran,Atlantic Records,1
Ed Sheeran,Ed Townsend,1
Ed Sheeran,Let's Get It On,1
Ed Sheeran,Marvin Gaye,1
Ed Sheeran,Louis Stanton,1
Ed Sheeran,January 2019,1
Ed Sheeran,Stanton,1
Ed Sheeran,Brexit,2
Ed Sheeran,the United Kingdom,1
Ed Sheeran,the European Union,1
Ed Sheeran,June 2016,1
Ed Sheeran,Sting,1
Ed Sheeran,Queen,1
Ed Sheeran,Roger Taylor,1
Ed Sheeran,Nick Mason,1
Ed Sheeran,Damon Albarn,1
Ed Sheeran,Blur,1
Ed Sheeran,Gorillaz,1
Ed Sheeran,Theresa May,1
Ed Sheeran,Bob Geldof,1
Ed Sheeran,October 2018,1
Ed Sheeran,2nd,1
Ed Sheeran,Britain,1
Ed Sheeran,British Labour Party,1
Ed Sheeran,2021,1
Ed Sheeran,the United States,1
Ed Sheeran,Congress,1
Ed Sheeran,Equality Act,1
Ed Sheeran,the Civil Rights Act,1
Ed Sheeran,LGBT,1
Ed Sheeran,2022,1
Ed Sheeran,Russian,1
Ed Sheeran,Ukraine,3
Ed Sheeran,Discography ++ (,1
Ed Sheeran,2011,1
Ed Sheeran,Notes,1
Ed Sheeran,Cormac 5,1
Ed Sheeran,Wembley Stadium Himself Concert,1
Ed Sheeran,2016 Bridget Jones's,1
Ed Sheeran,Baby Himself,1
Ed Sheeran,Dragonstone,1
Ed Sheeran,Brendan,1
Ed Sheeran,20112013,1
Ed Sheeran,20142015,1
Ed Sheeran,20172019,1
Ed Sheeran,Snow Patrol's,1
Ed Sheeran,Fallen Empires Tour,1
Ed Sheeran,North American,2
Ed Sheeran,2013,1
Ed Sheeran,The Rolling Stones's,1
Ed Sheeran,Zip Code Tour,1
Ed Sheeran,Kansas City,1
Ed Sheeran,Nolan,1
Ed Sheeran,Sheeran A+,1
Ed Sheeran,Blake Publishingisbn978-1782198840url,1
Ed Sheeran,Ed Sheeranlist,1
