Title,Named-entity,Frequency
Lionel Messi,Messiongoing,1
Lionel Messi,Muhammad,1
Lionel Messi,Frazier,1
Lionel Messi,the Roger FedererRafael Nadal Federerrivalry,1
Lionel Messi,SennaProst,1
Lionel Messi,Formula One motor,1
Lionel Messi,40million,1
Lionel Messi,41million,1
Lionel Messi,65million,1
Lionel Messi,SportsPro,1
Lionel Messi,every year,1
Lionel Messi,2010.As,1
Lionel Messi,David Beckham,1
Lionel Messi,Pepsi,1
Lionel Messi,Konami,1
Lionel Messi,June 2021,1
Lionel Messi,five-year,1
Lionel Messi,the Hard Rock Cafe,1
Lionel Messi,[ Hard Rock International Begins Year-Long 50th Anniversary Celebration By Announcing Partnership With Lionel Messi,1
Lionel Messi,PR Newswire,1
Lionel Messi,11 June 2021,1
Lionel Messi,Family,1
Lionel Messi,2008,2
Lionel Messi,Antonela Roccuzzo,1
Lionel Messi,January 2009,1
Lionel Messi,a month later,1
Lionel Messi,Sitges,1
Lionel Messi,BarcelonaEspanyol,1
Lionel Messi,Roccuzzo,1
Lionel Messi,Thiago,1
Lionel Messi,Mateo,1
Lionel Messi,Ciro,1
Lionel Messi,Ecuador,1
Lionel Messi,2 June 2012,1
Lionel Messi,two weeks later,1
Lionel Messi,Celia,1
Lionel Messi,Jorge,1
Lionel Messi,Rodrigo,1
Lionel Messi,daily,2
Lionel Messi,Matas,1
Lionel Messi,the Leo Messi Foundation,2
Lionel Messi,Rosarino,1
Lionel Messi,Buenos Aires,3
Lionel Messi,three-hour,1
Lionel Messi,the night,1
Lionel Messi,the next day,1
Lionel Messi,Castelldefels,1
Lionel Messi,one-one,1
Lionel Messi,Newell's,1
Lionel Messi,2004,1
Lionel Messi,the United Nations Children's Fund (UNICEF,1
Lionel Messi,UNICEF,1
Lionel Messi,Sarmiento,1
Lionel Messi,Rosario Central,1
Lionel Messi,River Plate,1
Lionel Messi,November 2016,1
Lionel Messi,the Argentine Football Association,1
Lionel Messi,FIFA,1
Lionel Messi,six months,1
Lionel Messi,Uruguay,4
Lionel Messi,Chinese,1
Lionel Messi,Sinovac Biotechwhose,1
Lionel Messi,Messiin,1
Lionel Messi,"50,000",1
Lionel Messi,Sinovac,1
Lionel Messi,COVID-19 vaccine,1
Lionel Messi,CoronaVac,1
Lionel Messi,Luis Lacalle Pou,1
Lionel Messi,"Canelones,Canelones",1
Lionel Messi,Belize,1
Lionel Messi,4.1million,1
Lionel Messi,between 2007 and 2009,1
Lionel Messi,Panama,1
Lionel Messi,Messis,1
Lionel Messi,Panama Papers,1
Lionel Messi,5.1million,1
Lionel Messi,August 2013,1
Lionel Messi,6 July 2016,1
Lionel Messi,21-month,1
Lionel Messi,1.7million,1
Lionel Messi,1.4million,1
Lionel Messi,"B2003200304Segunda Divisin Bcolspan""2""colspan""2""colspan""2""0-",1
Lionel Messi,Divisin,1
Lionel Messi,Liga8-2006200607La,1
Lionel Messi,2008200809La,1
Lionel Messi,2011201112La,1
Lionel Messi,2014201415La,1
Lionel Messi,"Ligacolspan""2""58-2015201516La",1
Lionel Messi,Liga441,1
Lionel Messi,2016201617La,1
Lionel Messi,"Liga138-!colspan""2""Total!672-Paris Saint-Germain",1
Lionel Messi,F.C.Paris Saint-Germain202122,1
Lionel Messi,"1colspan""2""9-!colspan""3""Career",1
Lionel Messi,International,1
Lionel Messi,year,1
Lionel Messi,under-Argentina U202004colspan3-200516colspan11-!Total!14-rowspanArgentina,1
Lionel Messi,2007106-200862-200983-201052-201184-2012512-201356-201478-201564-2016108-201754-201844-201965-202041-2021169-,1
Lionel Messi,total!97 Honours Barcelona[,1
Lionel Messi,"La Liga: 2004200405, 2005200506,",1
Lionel Messi,"2008200809, 2009200910,",2
Lionel Messi,2015201516,2
Lionel Messi,2017201718,2
Lionel Messi,2011201112,2
Lionel Messi,2016201617,1
Lionel Messi,2020202021 Supercopa de Espaa,1
Lionel Messi,UEFA Super Cup,1
Lionel Messi,FIFA Club World Cup,1
Lionel Messi,2015Paris,1
Lionel Messi,Saint-Germain,1
Lionel Messi,2014Argentina Olympic Football,1
Lionel Messi,Summer,1
Lionel Messi,2005Individual,1
Lionel Messi,FIFA World Player,1
Lionel Messi,the Year: 2009,1
Lionel Messi,The Best FIFA Men's Player,1
Lionel Messi,European Golden Shoe,1
Lionel Messi,201112,1
Lionel Messi,FIFA World Cup Golden Ball,1
Lionel Messi,the Year: 2005,1
Lionel Messi,2017,1
Lionel Messi,Laureus World Sportsman,1
Lionel Messi,the Year: 2020 See,1
Lionel Messi,500,1
Lionel Messi,Instagram,1
Lionel Messi,Notes,1
Lionel Messi,La Liga      Navboxes,1
Lionel Messi,bordercolor,1
Lionel Messi,00355ENavboxes,1
Lionel Messi,fg,1
